ds;holiday;lower_window;upper_window;
08.04.2019;Joint APP and HEPP Annual Conference;0;5;
07.04.2019;Light Scalars;0;5;
02.04.2019;CTD 2019;0;5;
23.03.2019;DPG 2019;0;5;
23.03.2019;Moriond QCD;0;5;
16.03.2019;Moriond EW;0;5;
12.03.2019;;0;5;
11.03.2019;LC VTX;0;5;
11.03.2019;ACAT 2019;0;5;
10.03.2019;La Thuile 2019;0;5;
25.02.2019;TREDI 2019;0;5;
18.02.2019;VCI 2019;0;5;
21.01.2019;CLIC;0;5;
17.01.2019;IAS HK;0;5;
14.01.2019;BTTB 2019;0;5;
10.12.2018;PIXEL 2018;0;5;
27.11.2018;PD 18;0;5;
26.11.2018;HC 2018;0;5;
12.11.2018;CEPC;0;5;
10.11.2018;IEEE NSS-MIC 2018;0;5;
22.10.2018;LCWS18;0;5;
22.10.2018;ICPPA-18;0;5;
21.10.2018;Vertex;0;5;
04.10.2018;FCAL;0;5;
01.10.2018;CSC;0;5;
24.09.2018;NTIHEP;0;5;
24.09.2018;TAU2018;0;5;
19.09.2018;CALICE;0;5;
17.09.2018;TWEPP;0;5;
16.09.2018;TOP2018;0;5;
12.09.2018;AEPSHEP 2018;0;5;
11.09.2018;PIC 2018;0;5;
10.09.2018;;0;5;
10.09.2018;ÖPG 2018;0;5;
04.09.2018;HH;0;5;
31.08.2018;Corfu;0;5;
28.08.2018;CLICdp;0;5;
28.08.2018;SPS18;0;5;
20.08.2018;;0;5;
23.07.2018;;0;5;
23.07.2018;SUSY 2018;0;5;
16.07.2018;;0;5;
16.07.2018;BOOST 2018;0;5;
14.07.2018;FPCP 2018;0;5;
09.07.2018;CHEP 2018;0;5;
04.07.2018;ICHEP 2018;0;5;
25.06.2018;;0;5;
25.06.2018;FTDM 2018;0;5;
24.06.2018;iWoRiD 2018;0;5;
20.06.2018;ESHEP 2018;0;5;
17.06.2018;BEACH 2018;0;5;
04.06.2018;TOP@LC2018;0;5;
04.06.2018;LHCP 2018;0;5;
28.05.2018;ALCW2018;0;5;
27.05.2018;Pisameet;0;5;
27.05.2018;;0;5;
24.05.2018;CEPC EU;0;5;
21.05.2018;CALOR 2018;0;5;
21.05.2018;Vulcano;0;5;
10.05.2018;FCAL;0;5;
16.04.2018;DIS 2018;0;5;
15.04.2018;ALPS 2018;0;5;
26.03.2018;HEPFRONT18;0;5;
20.03.2018;ctd2018;0;5;
19.03.2018;DPG;0;5;
17.03.2018;Moriond QCD;0;5;
10.03.2018;Moriond EW;0;5;
25.02.2018;La Thuile;0;5;
19.02.2018;Trento;0;5;
18.02.2018;Lake Louise;0;5;
30.01.2018;CernVM;0;5;
22.01.2018;CLIC;0;5;
18.01.2018;Calorimeter workshop at IAS;0;5;
16.01.2018;1st FCC physics Workshop;0;5;
16.01.2018;BTTB6;0;5;
08.01.2018;Hep2018;0;5;
02.01.2018;Spåtind;0;5;
10.12.2017;HSTD11 & SOIPIX2017;0;5;
06.11.2017;International Workshop on the CEPC;0;5;
23.10.2017;LCWS;0;5;
21.10.2017;IEEE 2017;0;5;
05.10.2017;;0;5;
02.10.2017;CHEF2017;0;5;
