DATETIME,WORKINGGROUP,INPUT_FORMAT_SHORT,INPUT_FORMAT_DESC,INPUT_PROJECT,N_TASKS,N_FILES
2022-09-04,,DAOD,PHYS,mc16_13TeV,2925,9142
2022-08-28,,DAOD,EGAM,mc16_13TeV,47,266
2022-08-21,,RDO,,mc15_14TeV,9,16
2022-08-21,,RDO,,mc21_13p6TeV,9,41
2022-08-28,,DAOD,TAUP,data16_13TeV,15,15
2022-08-28,,DAOD,TAUP,mc16_13TeV,142,272
2022-08-28,,HITS,,mc16_13TeV,11,33
2022-08-28,,TXT,,mc15_13TeV,5,5
2022-08-28,,EVNT,,mc15_13TeV,13,33
2022-08-28,,DAOD,SUSY,data16_13TeV,71,362
2022-07-31,,DAOD,SUSY,data18_13TeV,1,194
2022-07-24,,ESD,,data22_13p6TeV,5,5
2022-07-31,,DAOD,TRIG,data18_13TeV,2,2
2022-07-31,,DAOD,TOPQ,data15_13TeV,4,264
2022-08-28,,ESD,,mc16_13TeV,2,3
2022-08-14,,DAOD,EXOT,data15_13TeV,11,308
2022-08-14,,RDO,,mc15_14TeV,4,6
2022-08-28,,DAOD,BPHY,data18_13TeV,8,8
2022-08-28,,DAOD,BPHY,data16_13TeV,7,7
2022-08-21,,DAOD,MUON,data16_13TeV,11,177
2022-08-21,,ESD,,mc21,4,4
2022-09-18,,DAOD,JETM,mc16_13TeV,316,2045
2022-07-31,,DAOD,LLP,data18_13TeV,4,4
2022-07-31,,AOD,,mc21,6,6
2022-09-11,,AOD,,data17_13TeV,6,208
2022-08-14,det-muon,,,data22_13p6TeV,3,3
2022-08-28,,DAOD,JETM,data17_13TeV,5,292
2022-07-31,phys-top,DAOD,TOPQ,data18_13TeV,1,194
2022-07-24,,ESD,,mc20_13TeV,6,6
2022-07-31,,DAOD,PHYSVAL,mc20_13TeV,4,8
2022-08-07,,DAOD,LLP,data22_13p6TeV,6,6
2022-09-18,perf-muons,AOD,,mc20_13TeV,2,33
2022-08-28,,,,data17_13TeV,2,2
2022-08-07,,DESDM,MCP,data22_13p6TeV,1,1
2022-08-21,,DAOD,HIGGD,data18_13TeV,3,90
2022-07-31,,DAOD,HIGGD,data16_13TeV,1,24
2022-09-18,,DAOD,MUON,data17_13TeV,189,222
2022-09-04,,AOD,,mc20_13TeV,4,4
2022-09-18,,DAOD,HIGGD,data15_13TeV,211,276
2022-09-04,,DAOD,JETM,data17_13TeV,4,102
2022-08-28,phys-higgs,EVNT,,mc16_13TeV,3,27
2022-09-04,,DAOD,EGAM,mc20_13TeV,67,113
2022-09-04,,DAOD,EXOT,data15_13TeV,106,106
2022-09-11,,DAOD,SUSY,data16_13TeV,167,882
2022-09-04,,DAOD,FTAG,mc16_13TeV,103,109
2022-09-04,,ESD,,mc21_13p6TeV,5,5
2022-09-11,phys-higgs,EVNT,,mc15_13TeV,1,1
2022-09-11,,DAOD,BPHY,data15_13TeV,100,230
2022-09-04,,DAOD,PHYS,mc21_13p6TeV,79,146
2022-09-04,,,,data22_13p6TeV,10,10
2022-09-11,,DAOD,TAUP,mc16_13TeV,70,395
2022-09-11,,AOD,,data18_13TeV,5,37
2022-09-18,,EVNT,,mc15_13TeV,48,53
2022-09-11,,DAOD,EGAM,data22_13p6TeV,8,8
2022-09-11,,DAOD,STDM,data15_13TeV,82,467
2022-09-11,,DAOD,PHYS,data17_13TeV,199,445
2022-09-18,,,,data18_13TeV,5,5
2022-09-18,,DAOD,PHYS,data22_13p6TeV,180,187
2022-09-18,,DAOD,EGAM,mc21_13p6TeV,13,22
2022-09-18,,AOD,,mc16_5TeV,23,65
2022-09-18,,AOD,,data22_13p6TeV,150,254
2022-09-18,,DAOD,MUON,data15_13TeV,67,67
2022-09-11,,DAOD,TRUTH,mc16_13TeV,1,3
2022-09-11,,DAOD,FTAG,mc16_13TeV,5,15
2022-09-18,phys-susy,DAOD,SUSY,data15_13TeV,8,138
2022-09-18,,HITS,,mc21_13p6TeV,5,5
2022-08-28,,,,data15_13TeV,2,2
2022-09-11,,,,data16_13TeV,2,2
2022-09-11,,HITS,,mc15_14TeV,5,5
2022-09-11,,DAOD,PHYSLITE,mc20_13TeV,4,4
2022-09-04,,DAOD,HION,data18_hi,1,46
2022-09-04,,,,data16_13TeV,1,1
2022-09-18,phys-higgs,DAOD,STDM,mc16_13TeV,1,1
2022-09-18,,ESD,,mc21_13p6TeV,1,1
2019-04-21,,AOD,,mc16_13TeV,393,1579
2018-04-15,,DAOD,HIGGD,data15_13TeV,362,1041
2017-02-12,,DAOD,TRUTH,mc15_13TeV,440,444
2017-11-12,,AOD,,data15_13TeV,63,141
2019-06-02,,AOD,,data15_13TeV,1,1
2017-01-01,,DAOD,HIGGD,data16_13TeV,1030,1618
2017-02-12,,NTUP,COMMON,mc12_8TeV,101,954
2017-01-01,,AOD,,data15_5TeV,7,11
2017-08-06,,ESD,,mc15_13TeV,20,22
2017-01-08,,DAOD,HIGGD,data16_13TeV,1967,2696
2017-01-08,,DAOD,EXOT,mc15_13TeV,1331,1774
2017-01-08,,DAOD,EXOT,data15_13TeV,278,328
2017-01-01,,EVNT,,mc15_13TeV,231,464
2017-01-08,,DESDM,MCP,data16_13TeV,12,12
2017-07-23,,DAOD,HIGGD,mc15_13TeV,3783,5533
2017-01-15,,DESDM,MCP,data16_13TeV,70,70
2017-01-01,,,,data16_13TeV,44,44
2017-01-01,phys-exotics,DAOD,HIGGD,mc15_13TeV,159,174
2017-01-22,,DAOD,IDPIXLUMI,data16_13TeV,29,29
2017-05-21,,DAOD,TOPQ,mc15_13TeV,614,1181
2017-02-26,,DRAW,ZMUMU,data16_13TeV,6,6
2017-04-09,phys-exotics,DAOD,FTAG,mc15_13TeV,4,33
2017-01-08,,AOD,,data15_hi,55,55
2017-01-01,,DAOD,STDM,data15_13TeV,106,106
2017-01-01,,NTUP,COMMON,mc12_8TeV,2298,4049
2017-01-01,,DAOD,EGAM,data15_13TeV,356,600
2017-01-01,phys-higgs,EVNT,,mc15_13TeV,6,6
2017-01-01,perf-egamma,AOD,,mc15_13TeV,28,28
2017-01-01,,DAOD,FTAG,data15_13TeV,88,88
2017-01-01,,DAOD,IDPIXLUMI,data16_13TeV,2,2
2017-01-08,,DAOD,TOPQ,data15_13TeV,187,572
2017-01-01,,DAOD,IDTRKLUMI,mc15_13TeV,12,36
2017-01-01,,DAOD,FTAG,data16_13TeV,169,193
2017-01-15,,DAOD,JETM,data16_13TeV,1765,3276
2017-01-08,phys-susy,DAOD,SUSY,data15_13TeV,42,42
2017-01-15,,DAOD,TOPQ,mc15_13TeV,1976,2477
2017-01-08,,NTUP,COMMON,data12_8TeV,20,572
2017-01-15,phys-exotics,DAOD,HIGGD,mc15_13TeV,117,128
2017-01-15,,DAOD,HIGGD,data16_13TeV,1395,2083
2017-01-15,perf-egamma,DAOD,STDM,mc15_13TeV,12,12
2017-01-15,perf-egamma,DAOD,STDM,data15_13TeV,41,41
2017-01-15,,DAOD,TAUP,mc15_13TeV,30,63
2017-01-15,perf-egamma,DAOD,STDM,data16_13TeV,156,156
2017-01-15,,DRAW,ZMUMU,data15_13TeV,4,75
2017-01-15,,AOD,,data16_hip5TeV,10,17
2017-01-15,phys-susy,DAOD,RPVLL,data16_13TeV,1,164
2017-07-09,,DAOD,TOPQ,data15_13TeV,87,987
2017-01-22,phys-higgs,DAOD,HIGGD,data16_13TeV,456,456
2017-01-15,phys-exotics,AOD,,data15_13TeV,58,58
2017-01-29,,DAOD,TOPQ,data16_13TeV,159,2440
2017-01-22,,DAOD,FTAG,mc15_13TeV,24,80
2017-01-22,perf-idtracking,DESDM,EGZ,data16_13TeV,13,13
2017-01-22,phys-higgs,DAOD,HIGGD,data15_13TeV,128,128
2017-01-22,,ESD,,mc16_valid,2,2
2017-01-22,det-indet,ESD,,mc15_13TeV,6,6
2017-01-22,,DAOD,MUON,data15_13TeV,9,72
2017-02-05,phys-higgs,DAOD,HIGGD,mc15_13TeV,3079,3633
2017-01-29,,DAOD,HIGGD,data15_13TeV,682,979
2017-01-29,det-indet,DRAW,ZMUMU,data16_13TeV,8,8
2017-01-29,,DAOD,TRUTH,mc15_14TeV,31,33
2017-02-05,,DAOD,TRUTH,mc15_13TeV,184,193
2017-01-29,,DAOD,IDTIDE,mc15_13TeV,12,12
2017-02-05,perf-muons,AOD,,data15_13TeV,4,64
2017-01-29,perf-muons,AOD,,mc15_13TeV,3,4
2017-01-29,,AOD,,mc15_valid,11,11
2017-02-05,,DAOD,EXOT,data16_13TeV,1957,1983
2017-01-29,perf-idtracking,DAOD,IDTIDE,mc15_13TeV,19,19
2017-02-05,,NTUP,TAU,mc12_8TeV,3,10
2017-02-12,,DAOD,STDM,mc15_13TeV,180,544
2017-02-05,perf-idtracking,AOD,,mc15_13TeV,7,19
2017-02-12,phys-higgs,DAOD,HIGGD,mc15_13TeV,4543,5746
2017-02-12,perf-jets,AOD,,data16_13TeV,163,163
2017-02-19,,DAOD,BPHY,data16_13TeV,5,687
2017-02-12,,AOD,,data16_hip8TeV,61,90
2017-02-12,,,,data16_13TeV,12,12
2017-02-12,,RAW,,data16_13TeV,1,1
2017-02-19,,DAOD,TRUTH,mc15_14TeV,3,3
2017-02-19,,DAOD,HION,data16_hip8TeV,39,39
2017-02-19,,,,data16_13TeV,27,27
2017-02-19,,DAOD,JETM,data15_13TeV,397,418
2017-03-12,,DAOD,HIGGD,mc15_13TeV,2128,3041
2017-02-19,,TXT,,mc15_13TeV,28,56
2017-02-26,,TXT,,mc15_13TeV,27,46
2017-02-26,,AOD,,data15_13TeV,180,363
2017-01-08,,DAOD,BPHY,data16_13TeV,2,184
2017-01-08,,NTUP,LHSG,data12_8TeV,10,286
2017-01-08,perf-egamma,DAOD,STDM,mc15_13TeV,25,25
2017-01-15,,HITS,,mc15_13TeV,5,7
2017-01-22,perf-idtracking,DAOD,IDTIDE,mc15_13TeV,33,33
2017-01-22,,DAOD,STDM,data15_13TeV,2,2
2017-01-29,,HITS,,mc15_14TeV,2,2
2017-02-05,det-indet,HITS,,mc15_13TeV,3,4
2017-02-12,,RDO,,mc15_14TeV,2,2
2017-02-19,,DAOD,MUON,data16_13TeV,17,462
2017-03-12,,EVNT,,mc15_13TeV,305,402
2017-02-26,phys-sm,DAOD,STDM,data16_13TeV,1,22
2016-12-25,,ESD,,mc15_13TeV,3,6
2017-01-01,perf-flavtag,AOD,,mc16_13TeV,3,3
2017-01-15,,ESD,,data16_13TeV,1,1
2017-01-22,,DAOD,IDTRKLUMI,mc15_13TeV,6,18
2017-01-29,,DAOD,MUON,mc15_13TeV,2,20
2016-12-25,phys-higgs,EVNT,,mc15_13TeV,1,1
2017-01-08,,DAOD,IDTRKVALID,mc15_14TeV,2,2
2017-01-29,,DAOD,LCALO,data16_13TeV,2,2
2017-03-05,perf-idtracking,AOD,,data16_13TeV,3,3
2017-01-15,phys-higgs,DAOD,TOPQ,data16_13TeV,3,50
2017-01-15,phys-susy,DAOD,RPVLL,mc15_13TeV,1,1
2017-01-22,,ESD,,mc16_13TeV,5,5
2017-02-05,,NTUP,HI,data10_hi,1,1
2017-01-29,phys-susy,DAOD,RPVLL,data16_13TeV,3,489
2017-03-12,,HITS,,mc16_13TeV,2,4
2017-03-05,,AOD,,data16_13TeV,212,636
2017-02-05,,HITS,,mc16_13TeV,1,1
2017-02-05,,DRAW,RPVLL,data16_13TeV,2,2
2017-02-12,perf-idtracking,HITS,,mc16_13TeV,1,1
2017-02-19,phys-exotics,DAOD,EXOT,mc15_13TeV,10,13
2017-02-26,phys-higgs,DAOD,HIGGD,data15_13TeV,612,1113
2017-02-26,phys-higgs,DAOD,HIGGD,data16_13TeV,1026,2068
2017-02-26,perf-egamma,DAOD,HIGGD,data15_13TeV,205,205
2017-08-27,phys-higgs,DAOD,HIGGD,mc15_13TeV,221,530
2017-02-26,perf-idtracking,DAOD,IDTIDE,mc15_13TeV,12,12
2017-02-26,,NTUP,TOP,mc11_7TeV,96,185
2017-02-26,,DAOD,EGAM,data15_13TeV,119,119
2017-03-05,phys-higgs,EVNT,,mc15_13TeV,108,108
2017-03-05,,DAOD,MUON,data16_13TeV,320,482
2017-03-05,soft-simul,HITS,,mc15_13TeV,40,40
2017-03-05,,DAOD,TRUTH,mc15_13TeV,416,442
2017-03-05,,DAOD,IDTIDE,data16_13TeV,152,152
2017-03-12,,DAOD,EXOT,data15_13TeV,1135,1241
2017-03-12,,,,data16_13TeV,10,10
2017-03-05,,DAOD,FTAG,mc15_13TeV,25,27
2017-03-05,perf-idtracking,DAOD,IDTIDE,data16_13TeV,157,157
2017-03-12,,ESD,,data17_cos,16,16
2017-09-03,phys-higgs,DAOD,HIGGD,mc15_13TeV,743,876
2017-03-12,,DAOD,STDM,mc15_13TeV,389,603
2017-03-12,,DAOD,EGAM,data16_13TeV,1376,2524
2017-03-19,,DAOD,SUSY,data15_13TeV,187,1738
2017-03-12,,AOD,,data15_5TeV,14,14
2017-11-12,,DAOD,TOPQ,data15_13TeV,298,1459
2017-03-19,,DAOD,STDM,mc15_13TeV,500,1104
2017-03-12,phys-exotics,AOD,,mc15_13TeV,26,27
2017-03-19,,DAOD,IDTIDE,mc15_13TeV,38,38
2017-03-19,,DAOD,TOPQ,data15_13TeV,102,689
2017-03-19,,DAOD,STDM,data16_13TeV,2608,3130
2017-05-21,,AOD,,mc15_13TeV,273,1848
2017-03-26,,DAOD,EXOT,mc15_13TeV,3373,4339
2017-03-19,,DAOD,EGAM,data15_13TeV,315,735
2017-03-19,,DAOD,JETM,data15_13TeV,95,446
2017-03-19,,DAOD,IDTRKVALID,mc15_14TeV,4,8
2017-03-26,,DAOD,HIGGD,data15_13TeV,637,637
2017-04-16,,DAOD,TOPQ,mc15_13TeV,1272,1848
2017-03-26,,DAOD,JETM,data15_13TeV,220,411
2017-04-02,,,,data16_13TeV,20,20
2017-03-26,phys-higgs,DAOD,HIGGD,data16_13TeV,199,199
2017-03-26,perf-idtracking,DAOD,IDTIDE,mc15_13TeV,21,21
2017-03-26,,DAOD,IDTRKVALID,mc15_14TeV,7,7
2017-03-26,,,,data16_13TeV,20,20
2017-04-02,,AOD,,mc12_8TeV,15,37
2017-04-02,perf-idtracking,DAOD,IDTIDE,data16_13TeV,176,176
2017-04-02,,NTUP,LTGC,data12_8TeV,174,174
2017-04-02,,NTUP,LTGC,data11_7TeV,251,251
2017-04-02,,AOD,,data16_13TeV,75,95
2017-04-02,,DAOD,IDTIDE,mc15_13TeV,18,18
2017-04-02,,DAOD,TRUTH,mc15_13TeV,657,672
2017-04-02,,AOD,,mc16_13TeV,61,72
2017-04-09,,AOD,,mc15_13TeV,651,915
2017-04-02,phys-hi,HITS,,mc15_valid,11,11
2017-04-09,,AOD,,data12_8TeV,11,867
2017-04-09,,DAOD,HIGGD,data15_13TeV,844,1055
2017-04-09,,NTUP,HI,data10_hi,101,101
2017-04-09,perf-muons,DAOD,MUON,mc15_13TeV,36,87
2017-04-09,,DAOD,IDTIDE,data16_13TeV,179,179
2017-04-09,,DAOD,FTAG,data15_13TeV,106,106
2017-04-09,,DAOD,BPHY,data16_13TeV,123,428
2017-04-23,,DAOD,EXOT,mc15_13TeV,2148,2528
2017-04-09,,AOD,,mc16_valid,3,3
2017-04-09,,ESD,,mc15_13TeV,12,12
2017-04-09,,DAOD,MUON,mc15_13TeV,4,35
2017-04-30,,DAOD,SUSY,data15_13TeV,355,1248
2017-04-23,,DAOD,FTAG,mc15_13TeV,57,134
2017-04-16,,DESDM,ZMUMU,data16_13TeV,9,9
2017-04-16,,AOD,,mc16_13TeV,14,23
2017-04-23,,DAOD,EGAM,data16_13TeV,958,1688
2017-04-23,,DAOD,HIGGD,mc15_13TeV,729,1613
2017-04-16,,DAOD,TRUTH,mc15_13TeV,32,34
2017-04-23,,DAOD,JETM,mc15_13TeV,676,1194
2017-04-23,,AOD,,mc16_valid,16,16
2017-04-23,,NTUP,MINBIAS,mc09_7TeV,1,1
2017-04-23,,DAOD,EGAM,data15_13TeV,755,860
2017-04-30,,DAOD,EXOT,mc15_13TeV,3334,3816
2017-04-23,,RDO,,mc15_13TeV,57,57
2017-04-30,,AOD,,data16_13TeV,204,364
2018-01-21,,DAOD,SUSY,mc15_13TeV,455,491
2017-04-30,,AOD,,mc15_13TeV,203,321
2017-04-30,,NTUP,TOP,mc11_7TeV,96,185
2017-04-30,perf-flavtag,AOD,,mc16_13TeV,2,2
2017-05-07,phys-higgs,DAOD,TOPQ,mc15_13TeV,125,179
2017-04-30,,DAOD,IDTR,data16_13TeV,10,10
2017-05-07,phys-higgs,DAOD,HIGGD,data15_13TeV,78,328
2017-05-07,,HITS,,mc16_13TeV,2,2
2017-05-07,,HITS,,mc15_14TeV,4,4
2017-02-26,,RDO,,mc15_14TeV,14,24
2017-03-05,,DAOD,FTAG,data16_13TeV,26,26
2017-03-12,phys-higgs,DAOD,HIGGD,data15_13TeV,25,274
2017-04-09,phys-exotics,AOD,,mc15_13TeV,13,17
2017-03-19,phys-susy,HITS,,mc15_13TeV,7,7
2017-03-19,,NTUP,COMMON,data12_8TeV,26,681
2017-03-19,,NTUP,FTKIP,mc12_14TeV,2,2
2017-03-26,phys-exotics,DAOD,HIGGD,mc15_13TeV,27,34
2017-03-26,perf-idtracking,DAOD,EGZ,data16_13TeV,22,22
2017-04-02,,DAOD,BPHY,data16_13TeV,1,1
2017-04-02,,NTUP,HI,data10_hi,35,35
2017-04-09,phys-exotics,DAOD,SUSY,data15_13TeV,7,75
2017-09-24,,DAOD,SUSY,mc15_13TeV,1442,1975
2017-04-16,,DESD,CALJET,data12_8TeV,1,1
2017-05-14,,DAOD,SUSY,data16_13TeV,674,2838
2017-04-30,,DAOD,ONIAMUMU,data11_7TeV,4,23
2017-05-07,,DAOD,BPHY,data15_13TeV,2,2
2017-05-07,,DAOD,IDTIDE,data16_13TeV,275,275
2017-03-26,,HITS,,mc15_13TeV,10,12
2017-04-02,phys-higgs,AOD,,mc15_13TeV,6,6
2017-04-02,,DAOD,RPVLL,data15_13TeV,2,2
2017-04-16,phys-exotics,AOD,,mc15_13TeV,3,5
2017-04-09,,AOD,,data16_hip8TeV,25,25
2017-04-23,,DESDM,ZMUMU,data15_5TeV,18,18
2017-04-30,,RDO,,mc15_14TeV,18,26
2017-07-09,,DAOD,JETM,data15_13TeV,25,969
2017-04-30,phys-sm,DAOD,STDM,mc15_13TeV,5,51
2017-03-05,,log,,mc15_13TeV,5,5
2017-06-25,,ESD,,mc15_13TeV,100,102
2017-04-09,,AOD,,mc12_8TeV,5,15
2017-04-16,,AOD,,data15_5TeV,4,4
2017-05-21,,AOD,,data12_8TeV,3,109
2017-02-26,perf-flavtag,AOD,,mc15_13TeV,9,9
2017-05-21,,AOD,,data15_13TeV,85,190
2017-05-14,phys-higgs,DAOD,HIGGD,mc15_13TeV,396,2464
2017-03-19,,AOD,,data12_8TeV,6,815
2017-04-02,,AOD,,data16_hip5TeV,2,2
2017-03-26,,DESDM,EGZ,data16_13TeV,1,1
2017-04-02,,DAOD,JPSIMUMU,data12_8TeV,12,306
2017-04-02,phys-higgs,TXT,,mc15_13TeV,9,14
2017-04-23,phys-susy,DAOD,HIGGD,data15_13TeV,2,2
2017-04-30,,DAOD,TAUP,mc15_13TeV,2,6
2017-05-07,,EVNT,,mc15_7TeV,1,1
2017-03-26,,AOD,,mc15_5TeV,4,4
2017-04-23,,DAOD,BPHY,mc15_13TeV,2,2
2017-04-30,,ESD,,mc15_14TeV,14,14
2017-03-26,det-indet,DRAW,ZMUMU,data16_13TeV,1,1
2017-05-14,,DAOD,TOPQ,data15_13TeV,90,1030
2017-03-05,,RAW,,data16_13TeV,4,4
2017-03-12,,ESD,,data15_13TeV,1,1
2017-04-23,,DESDM,RPVLL,data15_13TeV,1,1
2017-02-26,perf-idtracking,DESDM,ZMUMU,data15_13TeV,2,2
2017-03-12,det-indet,DRAW,ZMUMU,data16_13TeV,2,2
2017-03-12,,AOD,,mc16_13TeV,1,1
2017-03-05,det-indet,RDO,,mc15_13TeV,1,1
2017-03-05,phys-susy,DAOD,RPVLL,mc15_13TeV,1,1
2017-04-23,phys-sm,DAOD,STDM,mc15_13TeV,1,1
2017-03-05,,HITS,,mc15_14TeV,1,2
2017-03-26,,log,,mc15_13TeV,1,1
2017-04-09,,DAOD,BPHY,mc15_13TeV,1,1
2017-07-23,,HITS,,mc15_13TeV,7,16
2017-04-30,,,,data17_1beam,1,1
2017-04-16,,AOD,,mc14_8TeV,1,2
2017-04-09,,NTUP,SMWZ,mc12_8TeV,1,1
2017-05-07,,ESD,,mc15_14TeV,57,59
2017-05-14,,EVNT,,mc15_13TeV,273,352
2017-05-07,,AOD,,mc16_13TeV,44,49
2017-05-14,det-indet,DRAW,EGZ,data16_13TeV,2,2
2017-05-21,,DAOD,STDM,data15_13TeV,340,340
2017-05-14,,DAOD,SUSY,data15_13TeV,222,870
2017-05-28,,DAOD,JETM,mc15_13TeV,660,880
2017-05-14,,DAOD,TAUP,mc15_13TeV,108,111
2017-05-21,,DAOD,EXOT,data16_13TeV,945,2068
2017-05-14,phys-higgs,DAOD,HIGGD,data16_13TeV,184,357
2017-05-14,,DAOD,TAUMUH,data16_13TeV,4,4
2017-05-14,,NTUP,COMMON,data12_8TeV,11,259
2017-05-28,,DAOD,EXOT,data16_13TeV,1130,3330
2017-05-14,,AOD,,mc15_5TeV,37,53
2017-05-21,,NTUP,HI,data10_hi,34,34
2017-05-28,,DAOD,HIGGD,data16_13TeV,1026,1026
2017-05-28,,DAOD,RPVLL,data16_13TeV,2,184
2017-05-21,phys-higgs,DAOD,HIGGD,data15_13TeV,110,359
2017-05-21,,ESD,,data17_13TeV,5,5
2017-05-28,,NTUP,TOP,mc11_7TeV,158,323
2017-05-28,,DAOD,FTAG,mc15_13TeV,13,57
2017-05-28,phys-higgs,DAOD,TOPQ,mc15_13TeV,40,50
2017-05-28,perf-muons,AOD,,mc15_13TeV,25,95
2017-06-04,,DAOD,FTAG,data16_13TeV,377,385
2017-05-28,,DAOD,FTAG,data16_13TeV,171,171
2017-05-28,,DAOD,ONIAMUMU,data11_7TeV,20,230
2017-05-28,,,,data17_13TeV,18,18
2017-06-04,,DAOD,JETM,data15_13TeV,481,1074
2017-06-04,trig-daq,,,data17_13TeV,54,54
2017-06-04,,EVNT,,mc15_13TeV,108,117
2017-06-11,,DAOD,JETM,mc15_13TeV,1279,2182
2017-06-04,,DAOD,FTAG,mc15_13TeV,135,225
2017-06-04,,DAOD,LCALO,data17_13TeV,2,2
2017-06-11,,DAOD,EXOT,data16_13TeV,953,2547
2017-06-18,phys-higgs,DAOD,HIGGD,mc15_13TeV,1118,1584
2017-06-04,,DAOD,TAUP,data16_13TeV,173,173
2017-06-11,,DAOD,HIGGD,data15_13TeV,528,629
2017-06-04,phys-exotics,AOD,,data16_13TeV,25,25
2017-06-11,,EVNT,,mc15_13TeV,265,447
2017-06-18,,DAOD,JETM,mc15_13TeV,470,693
2017-06-11,,DAOD,SUSY,data15_13TeV,153,970
2017-06-11,,DAOD,SUSY,data16_13TeV,765,2872
2017-07-09,,DAOD,IDTIDE,data16_13TeV,1588,1588
2017-06-18,,HITS,,mc15_13TeV,69,111
2017-06-11,,HITS,,mc15_13TeV,30,80
2017-06-25,phys-sm,DAOD,HIGGD,mc15_13TeV,4,472
2017-06-11,perf-muons,DAOD,MUON,data16_13TeV,7,101
2017-07-30,phys-higgs,DRAW,ZMUMU,data15_13TeV,5,530
2017-07-16,,DAOD,TRUTH,mc15_13TeV,180,180
2017-06-18,perf-muons,DAOD,MUON,data16_13TeV,11,176
2017-06-18,,RDO,,mc15_13TeV,52,52
2017-06-18,,DAOD,STDM,mc16_13TeV,14,25
2017-06-25,,DAOD,SUSY,mc15_13TeV,1974,3179
2017-07-02,,DAOD,SUSY,mc15_13TeV,2782,4100
2017-06-18,,AOD,,data15_5TeV,10,10
2017-06-18,,DAOD,IDTR,data15_13TeV,3,3
2017-06-25,,DAOD,JETM,mc15_13TeV,802,1425
2017-06-25,,DAOD,EXOT,data15_13TeV,172,713
2017-07-09,,DAOD,EGAM,data16_13TeV,1884,16840
2017-07-02,,DAOD,EGAM,data16_13TeV,2273,22538
2017-06-25,phys-exotics,AOD,,data16_13TeV,36,36
2017-06-25,,DAOD,TAUP,data16_13TeV,154,154
2017-07-02,phys-higgs,DAOD,TOPQ,mc15_13TeV,597,694
2017-07-02,,DAOD,SUSY,data16_13TeV,435,2458
2017-07-02,,DAOD,JETM,mc16_13TeV,110,217
2017-07-02,,AOD,,data15_5TeV,26,26
2017-07-02,,AOD,,data16_hip8TeV,38,38
2017-07-02,,DAOD,FTAG,mc16_13TeV,3,4
2017-07-02,,DAOD,FTAG,mc15_13TeV,106,145
2017-07-02,phys-exotics,AOD,,data16_13TeV,53,53
2017-07-02,,DESDM,EXOTHIP,data16_13TeV,249,249
2017-07-16,,EVNT,,mc12_8TeV,18,148
2017-07-23,det-ibl,DRAW,ZMUMU,data16_13TeV,15,15
2017-07-09,det-indet,DRAW,ZMUMU,data16_13TeV,15,15
2017-07-09,,AOD,,mc15_valid,33,34
2017-07-09,,AOD,,mc15_13TeV,531,611
2017-07-09,,DAOD,TAUP,mc16_13TeV,7,14
2017-07-09,,DAOD,SUSY,data17_13TeV,63,63
2017-07-16,,DAOD,SUSY,data16_13TeV,772,2326
2017-07-16,,DAOD,JETM,mc16_13TeV,59,137
2017-07-16,,AOD,,data16_13TeV,88,204
2017-07-16,,AOD,,mc15_13TeV,176,302
2017-07-16,,DAOD,MUON,mc15_13TeV,3,29
2017-07-16,,DAOD,TAUP,mc15_13TeV,27,219
2017-07-23,,DAOD,EXOT,data15_13TeV,275,453
2017-07-16,phys-exotics,DAOD,EXOT,data15_13TeV,70,70
2017-07-30,,AOD,,mc16_13TeV,134,181
2017-07-16,phys-susy,DAOD,HIGGD,data16_13TeV,150,150
2017-07-23,,DAOD,HIGGD,data15_13TeV,734,1168
2017-07-23,,DAOD,RPVLL,data16_13TeV,200,200
2017-07-23,,DAOD,JETM,mc16_13TeV,317,617
2017-07-23,,DESDM,MCP,data17_13TeV,15,15
2017-07-30,phys-susy,DAOD,SUSY,mc15_13TeV,12,345
2017-07-23,,AOD,,mc15_5TeV,45,54
2017-07-23,,DAOD,SUSY,data17_13TeV,46,46
2017-07-23,,DAOD,BPHY,data16_13TeV,182,296
2017-07-23,,DAOD,BPHY,data17_13TeV,116,116
2017-07-23,,NTUP,COMMON,data12_8TeV,236,236
2017-08-13,,DAOD,EGAM,data15_13TeV,232,4012
2017-07-30,,AOD,,mc15_5TeV,27,38
2017-08-06,,DAOD,TOPQ,mc15_13TeV,878,1219
2017-07-23,,DAOD,ZMUMU,data17_13TeV,138,138
2017-05-21,,DAOD,TRUTH,mc15_14TeV,19,19
2017-08-06,phys-higgs,DAOD,HIGGD,mc15_13TeV,551,2055
2017-09-10,,DAOD,SUSY,mc15_13TeV,1380,1998
2017-06-04,,ESD,,data17_cos,19,19
2017-06-04,,EVNT,,mc12_14TeV,18,66
2017-06-04,,HITS,,mc15_5TeV,13,13
2017-06-04,,DAOD,IDTR,mc16_13TeV,2,4
2017-06-04,phys-sm,DAOD,FTAG,mc15_13TeV,10,26
2017-07-23,phys-higgs,DRAW,ZMUMU,data15_13TeV,1,106
2017-06-25,,DAOD,IDTIDE,mc15_13TeV,8,8
2017-06-25,,DAOD,ZMUMU,data17_13TeV,6,6
2017-07-16,perf-flavtag,AOD,,mc15_14TeV,4,4
2017-07-16,,DAOD,IDTIDE,mc15_13TeV,10,10
2017-07-23,,DESDM,MCP,data16_13TeV,2,2
2017-07-16,,DESDM,MCP,data16_13TeV,1,1
2017-07-23,,DRAW,RPVLL,data16_13TeV,40,40
