DATETIME,WORKINGGROUP,INPUT_FORMAT_SHORT,INPUT_FORMAT_DESC,INPUT_PROJECT,N_TASKS,N_FILES
2017-02-05,phys-exotics,DAOD,HIGGD,mc15_13TeV,1,1
2017-02-12,phys-sm,DAOD,STDM,data16_13TeV,3,41
2017-02-19,phys-exotics,DAOD,HIGGD,data15_13TeV,2,2
2017-01-01,phys-exotics,DAOD,FTAG,data16_13TeV,5,36
2017-01-15,,EVNT,,mc12_8TeV,1,4
2017-01-15,,EVNT,,mc15_14TeV,1,1
2017-01-22,,DAOD,LCALO,data16_13TeV,4,4
2017-01-22,,log,,mc15_13TeV,1,8
2017-02-19,perf-muons,AOD,,data15_13TeV,1,6
2017-02-05,perf-muons,AOD,,mc15_13TeV,1,5
2017-03-05,,DAOD,EGAM,mc15_13TeV,30,133
2017-02-26,,DAOD,SUSY,data15_13TeV,461,3352
2017-02-05,,DAOD,ZMUMU,data15_13TeV,3,3
2017-02-12,phys-exotics,DAOD,EXOT,mc15_13TeV,5,8
2017-02-12,det-indet,DRAW,ZMUMU,data16_13TeV,2,2
2017-02-19,,DAOD,RPVLL,mc15_13TeV,3,3
2017-01-01,,HITS,,mc15_13TeV,2,2
2016-12-25,,ESD,,data15_13TeV,3,3
2017-01-29,perf-muons,AOD,,data15_13TeV,1,14
2017-02-05,,AOD,,mc15_14TeV,5,8
2016-12-25,,DESDM,ZMUMU,data16_13TeV,1,1
2017-01-08,perf-flavtag,AOD,,mc16_valid,2,5
2017-01-15,,ESD,,data12_8TeV,1,1
2017-01-29,det-indet,ESD,,mc15_13TeV,3,4
2017-02-19,,DAOD,ZMUMU,data16_13TeV,5,24
2017-03-12,det-indet,,,data16_13TeV,18,18
2017-02-12,,AOD,,mc14_8TeV,1,2
2017-02-12,,DAOD,RPVLL,mc15_13TeV,1,202
2017-02-19,,DAOD,FTAG,data16_13TeV,183,183
2017-02-26,,NTUP,COMMON,mc12_8TeV,505,1821
2017-02-19,,log,,mc15_13TeV,7,7
2017-02-26,,AOD,,mc16_13TeV,34,34
2017-03-12,,TXT,,mc15_13TeV,12,14
2017-02-26,perf-idtracking,DAOD,IDTIDE,data16_13TeV,429,429
2017-02-26,,DRAW,,mc15_valid,21,21
2017-03-05,,NTUP,COMMON,data12_8TeV,1,1
2017-02-26,,EVNT,,mc15_8TeV,3,3
2017-02-26,,NTUP,LTGC,data11_7TeV,251,251
2017-03-05,,DAOD,HIGGD,data15_13TeV,675,977
2017-03-05,,NTUP,LTGC,data12_8TeV,520,520
2017-03-05,,AOD,,mc15_5TeV,14,25
2017-03-05,,DAOD,HIGGD,data16_13TeV,1683,2546
2017-03-05,perf-egamma,DAOD,STDM,mc15_13TeV,34,34
2017-03-05,,DAOD,TAUP,mc15_13TeV,14,20
2017-03-05,,DAOD,IDTIDE,mc15_13TeV,26,27
2017-03-12,phys-higgs,DAOD,HIGGD,data16_13TeV,101,455
2017-03-05,,ESD,,mc15_14TeV,13,15
2017-03-05,,AOD,,mc12_8TeV,11,69
2017-03-05,,DAOD,STDM,data15_13TeV,136,136
2017-03-19,,DAOD,HIGGD,mc15_13TeV,958,1497
2017-03-19,,DAOD,EXOT,data16_13TeV,1170,1897
2017-03-12,,DAOD,EGAM,mc15_13TeV,75,323
2017-03-05,,NTUP,SUSY,mc12_8TeV,18,42
2017-06-04,,DAOD,SUSY,mc15_13TeV,1716,3040
2017-03-12,,NTUP,SUSY,mc12_8TeV,396,441
2017-03-12,,NTUP,HI,data13_2p76TeV,9,9
2017-03-12,,AOD,,mc15_14TeV,45,59
2017-03-12,,NTUP,LTGC,data12_8TeV,176,176
2017-03-12,det-muon,DRAW,ZMUMU,data16_13TeV,3,3
2017-03-19,phys-higgs,DAOD,HIGGD,data16_13TeV,523,1762
2017-04-09,,DAOD,STDM,data16_13TeV,289,1223
2017-03-19,,DAOD,FTAG,mc15_13TeV,48,159
2017-03-26,,DAOD,HIGGD,mc15_13TeV,512,956
2017-03-26,,DAOD,HIGGD,data16_13TeV,1407,1584
2017-04-09,,DAOD,TOPQ,data15_13TeV,121,648
2017-03-19,,ESD,,data16_13TeV,7,7
2017-03-19,,DAOD,FTAG,data16_13TeV,364,364
2017-03-19,perf-flavtag,AOD,,mc16_13TeV,6,6
2017-03-19,perf-flavtag,DAOD,FTAG,data16_13TeV,181,181
2017-04-02,,DAOD,HIGGD,data15_13TeV,431,431
2017-03-19,,DAOD,EGAM,mc15_13TeV,47,101
2017-03-19,,AOD,,mc16_13TeV,76,81
2017-03-26,,DAOD,IDTRKLUMI,mc15_13TeV,24,72
2017-03-26,,ESD,,mc15_13TeV,62,77
2017-03-26,,,,data15_13TeV,5,5
2017-03-26,,DAOD,BPHY,data16_13TeV,126,919
2017-03-26,,AOD,,data16_hip8TeV,62,62
2017-03-26,,DAOD,EGAM,mc15_13TeV,15,165
2017-04-02,,DAOD,TRUTH,mc15_14TeV,4,4
2017-04-02,,DAOD,IDTIDE,data16_13TeV,53,53
2017-04-02,,DAOD,TOPQ,data16_13TeV,88,1287
2017-04-09,,DAOD,JETM,data16_13TeV,1698,3354
2017-04-02,,DRAW,ZMUMU,data16_13TeV,10,10
2017-04-09,,DAOD,EGAM,data16_13TeV,1869,2116
2017-04-02,,ESD,,data17_cos,95,95
